Lead1,Lead2,Lead3
0,0,0
821797,958362,3431.71
1.34475e+06,1.56796e+06,5598.1
1.49957e+06,1.74825e+06,6226.23
1.55572e+06,1.81344e+06,6446.54
1.55072e+06,1.80733e+06,6408.71
1.52194e+06,1.77351e+06,6271.13
1.47664e+06,1.72051e+06,6071.42
1.42476e+06,1.65994e+06,5851.71
1.3687e+06,1.59457e+06,5618.11
1.31178e+06,1.52826e+06,5382.77
1.2551e+06,1.46223e+06,5150.71
1.19975e+06,1.39778e+06,4925.08
1.14629e+06,1.33553e+06,4707.75
1.09501e+06,1.27585e+06,4500.89
1.04614e+06,1.21897e+06,4304.17
999783,1.16502e+06,4116.78
955967,1.11401e+06,3938.91
914644,1.06588e+06,3770.28
875730,1.02055e+06,3610.78
839128,977900,3460.29
804737,937826,3318.58
772458,900207,3185.5
742178,864921,3060.77
713785,831835,2943.88
687170,800819,2834.17
662227,771751,2731.31
638855,744512,2634.89
616954,718989,2544.51
596431,695071,2459.84
577195,672653,2380.49
559162,651638,2306.15
559197,651680,2306.35
507925,591889,2092.34
433380,504982,1782.86
372253,433742,1530.67
316966,369333,1303.5
269741,314348,1111.63
228143,265939,944.565
192592,224578,802.27
161836,188796,678.787
135745,158436,574.15
113563,132621,485.36
94963.7,110975,410.44
79472.6,92941.4,347.762
66726.6,78099.9,296.026
56395.7,66062.5,253.548
48163.9,56464.1,219.441
41737.1,48973.2,193.136
36859.5,43291.5,173.517
33313.4,39170.5,159.749
30913.3,36393.8,151.175
29492.6,34761.5,147.051
28892,34093,146.752
28967.2,34221.6,149.659
29597.5,34999.4,155.021
30677,36302.6,162.456
32110.1,38023.1,171.625
33814,40060.7,181.896
35717,42330.1,193.019
37756.7,44755.5,204.53
39877.8,47269.9,216.141
42030.3,49817.2,227.726
44171.4,52348.9,238.871
46265.9,54825.4,249.719
48284.9,57213.9,260.327
50204.5,59485.1,270.515
52009.4,61620.3,280.052
53687.4,63604.2,288.719
55226.4,65420.2,296.439
