Lead1,Lead2,Lead3
0,0,0
-1282.03,-1384.46,-82.8458
-1546.17,-1669.48,-99.6538
-1401.44,-1512.98,-90.0588
-1334.27,-1440.22,-85.6026
-1235.22,-1332.95,-78.8642
-1161.58,-1253.24,-73.7948
-1076.81,-1161.68,-68.3622
-1004.87,-1084.15,-63.9849
-929.57,-1003.13,-59.2934
-861.755,-930.109,-55.0394
-794.694,-857.847,-50.9719
-731.882,-790.186,-47.0903
-671.753,-725.435,-43.3864
-614.137,-663.576,-40.061
-559.474,-604.863,-36.7881
-508.027,-549.326,-33.4445
-459.453,-496.857,-30.251
-413.312,-446.754,-27.1093
-369.281,-398.902,-24.0917
-327.219,-353.488,-21.2212
-287.293,-310.283,-18.5145
-249.623,-269.449,-16.0537
-213.891,-230.963,-13.8575
-179.867,-194.324,-11.7612
-147.615,-159.398,-9.5708
-117.117,-126.416,-7.54749
-88.3379,-95.2852,-5.6167
-61.1191,-65.8438,-3.73059
-35.2578,-37.9316,-2.04456
-10.9668,-11.5508,-0.353882
11.9023,13.2129,1.21826
33.543,36.541,2.52844
53.668,58.3438,3.91467
72.1973,78.418,5.23181
89.3516,97.0234,6.37939
105.424,114.59,7.63916
120.557,131.281,8.92468
134.789,146.77,9.97754
147.881,161.068,10.9519
159.84,174.25,11.9418
170.869,186.395,12.9354
181.098,197.6,13.7133
190.713,207.887,14.1661
199.834,217.537,14.5535
208.279,226.549,15.0612
215.816,234.816,15.6714
222.691,242.305,16.1841
228.988,249.1,16.6367
234.547,255.053,16.9502
239.484,260.227,17.1561
244.059,265.08,17.4941
248.219,269.668,17.8433
251.628,273.65,18.2542
254.396,276.978,18.7281
256.748,279.701,19.069
258.646,281.898,19.397
260.095,283.658,19.6219
261.228,284.927,19.6373
262.109,285.833,19.6849
262.688,286.269,19.5514
262.902,286.18,19.384
262.682,285.741,19.2573
262.023,284.936,18.9243
261.056,283.874,18.8022
259.786,282.551,18.8356
258.146,280.762,18.7982
256.396,278.817,18.5983
254.58,276.797,18.3223
252.547,274.491,18.0739
250.19,271.98,17.8627
247.338,269.131,17.8773
244.346,266.062,17.9024
241.788,263.294,17.754
239.277,260.418,17.4301
236.615,257.218,16.9164
233.991,254.137,16.5045
231.173,251.021,16.2749
227.972,247.566,16.1392
224.618,243.896,15.8971
221.387,240.232,15.483
218.142,236.401,14.8993
214.72,232.285,14.2486
211.153,228.194,13.7762
207.708,224.307,13.3773
204.271,220.18,12.8382
200.547,215.73,12.1552
196.748,211.374,11.6173
193.147,207.479,11.4194
189.568,203.88,11.3634
185.973,200.109,11.245
182.544,196.319,10.9818
179.213,192.627,10.7035
176.095,189.224,10.4798
172.893,185.792,10.1517
169.39,181.879,9.84824
165.909,177.866,9.53775
162.364,174.089,9.25436
158.927,170.523,9.08849
155.739,167.122,8.97218
