Lead1,Lead2,Lead3
-0.419759,-0.453354,-0.0271461
-1.67174,-1.80536,-0.10805
-3.18167,-3.43571,-0.205368
-4.55027,-4.91323,-0.293316
-5.85327,-6.31969,-0.376913
-7.05954,-7.6214,-0.453929
-8.1939,-8.84527,-0.525994
-9.24547,-9.97973,-0.592754
-10.2268,-11.0385,-0.655239
-11.1346,-12.0181,-0.713143
-11.9761,-12.9264,-0.766892
-12.7522,-13.7641,-0.816669
-13.4669,-14.5358,-0.862656
-14.1229,-15.2442,-0.905025
-14.7227,-15.8923,-0.944148
-15.269,-16.483,-0.980073
-15.7652,-17.0194,-1.01273
-16.2138,-17.5046,-1.04228
-16.6175,-17.9409,-1.06875
-16.9781,-18.3305,-1.09228
-17.2976,-18.6757,-1.113
-17.5782,-18.9787,-1.13108
-17.822,-19.2418,-1.14676
-18.0308,-19.4673,-1.16029
-18.2065,-19.6571,-1.17178
-18.3507,-19.8128,-1.18112
-18.465,-19.9362,-1.18849
-18.5513,-20.0293,-1.19398
-18.611,-20.0936,-1.19762
-18.6454,-20.1306,-1.19962
-18.6561,-20.1419,-1.19996
-18.6445,-20.129,-1.19877
-18.6117,-20.0933,-1.19631
-18.5593,-20.0363,-1.19248
-18.4888,-19.9598,-1.18737
-18.4016,-19.865,-1.18114
-18.2986,-19.7531,-1.17368
-18.1809,-19.6249,-1.16497
-18.0493,-19.4816,-1.15522
-17.9048,-19.3243,-1.14453
-17.7487,-19.1541,-1.13287
-17.5819,-18.9721,-1.12024
-17.405,-18.7791,-1.10684
-17.2188,-18.5761,-1.09301
-17.0236,-18.3637,-1.0788
-16.8202,-18.1424,-1.06409
-16.6095,-17.9131,-1.04878
-16.392,-17.6765,-1.03298
-16.1684,-17.4332,-1.01673
-15.9393,-17.1842,-1.00018
-15.7055,-16.93,-0.983426
-15.4671,-16.6712,-0.966342
-15.2247,-16.4078,-0.948917
-14.979,-16.1406,-0.931091
-14.7306,-15.8701,-0.912801
-14.4798,-15.5969,-0.894179
-14.2273,-15.3217,-0.875237
-13.9733,-15.0446,-0.856075
-13.7181,-14.7664,-0.836898
-13.4622,-14.4873,-0.817674
-13.2056,-14.2077,-0.798581
-12.9489,-13.9282,-0.779652
-12.6924,-13.6492,-0.760846
-12.4365,-13.3709,-0.742365
-12.1816,-13.0937,-0.724003
-11.9279,-12.8178,-0.705609
-11.6758,-12.5436,-0.687252
-11.4254,-12.2713,-0.669089
-11.1768,-12.001,-0.651196
-10.9301,-11.7329,-0.633546
-10.6858,-11.4673,-0.616102
-10.4443,-11.2045,-0.598644
-10.2057,-10.9447,-0.581161
-9.96954,-10.6876,-0.563823
-9.73587,-10.4333,-0.546801
-9.5048,-10.1821,-0.530281
-9.27629,-9.93389,-0.514164
-9.05054,-9.68875,-0.49827
-8.82791,-9.44698,-0.482509
-8.60855,-9.2088,-0.466985
-8.39235,-8.9742,-0.451865
-8.17933,-8.74334,-0.437315
-7.96964,-8.5165,-0.4234
-7.76343,-8.29365,-0.409947
-7.56059,-8.0746,-0.396883
-7.36111,-7.85959,-0.384346
-7.16526,-7.64891,-0.372475
-6.97313,-7.44249,-0.36113
-6.78451,-7.23988,-0.349979
-6.59938,-7.04077,-0.338881
-6.41777,-6.84535,-0.3279
-6.2395,-6.65364,-0.317176
-6.06449,-6.46552,-0.306723
-5.89252,-6.28074,-0.296489
-5.72368,-6.0993,-0.286575
-5.55826,-5.92168,-0.276958
-5.39624,-5.74799,-0.267643
-5.23768,-5.57798,-0.258606
-5.08248,-5.41145,-0.249731
-4.93039,-5.24825,-0.240969
-4.78149,-5.08844,-0.23237
-4.63592,-4.93222,-0.223987
-4.49363,-4.77951,-0.215771
-4.35459,-4.63018,-0.20761
-4.21876,-4.48428,-0.199596
-4.08615,-4.34195,-0.191923
-3.95674,-4.20307,-0.184533
-3.83041,-4.06757,-0.17732
-3.70719,-3.93533,-0.170243
-3.58699,-3.80619,-0.163245
-3.46967,-3.68004,-0.156267
-3.35517,-3.5569,-0.149422
-3.24333,-3.43671,-0.142684
-3.13415,-3.31942,-0.136003
-3.02778,-3.20498,-0.129497
-2.9241,-3.09332,-0.12311
-2.82306,-2.98444,-0.116726
-2.72476,-2.87836,-0.110382
-2.62891,-2.7749,-0.104177
-2.53527,-2.67396,-0.0982689
-2.44426,-2.57571,-0.0924071
-2.35613,-2.47993,-0.0861362
-2.27041,-2.38635,-0.079614
-2.18669,-2.29496,-0.0732934
-2.10505,-2.20593,-0.0672227
-2.02561,-2.11941,-0.0613462
-1.94833,-2.03544,-0.0557787
-1.87317,-1.95396,-0.0505284
-1.80007,-1.87493,-0.0456368
-1.72897,-1.79822,-0.0410894
-1.65954,-1.72356,-0.0369428
-1.59142,-1.65067,-0.0332403
-1.52506,-1.57985,-0.02976
-1.46111,-1.51159,-0.0264669
-1.39952,-1.44611,-0.0235057
-1.34029,-1.38332,-0.0207649
-1.28363,-1.32324,-0.0181503
-1.2294,-1.26584,-0.0158012
-1.17741,-1.21096,-0.0137426
-1.12743,-1.15845,-0.0119988
-1.07941,-1.1083,-0.010564
-1.03338,-1.06037,-0.00937652
-0.989196,-1.0144,-0.00831704
-0.946737,-0.97029,-0.00738459
-0.906096,-0.928219,-0.00671251
-0.867124,-0.888144,-0.00621135
-0.829472,-0.849812,-0.00600729
-0.793044,-0.813026,-0.00617517
-0.757836,-0.777794,-0.00665866
-0.723842,-0.743947,-0.00731346
-0.691041,-0.711254,-0.00793713
-0.659507,-0.679865,-0.00861772
-0.629201,-0.649866,-0.00944204
-0.600003,-0.621253,-0.0104983
-0.571867,-0.593882,-0.0118218
-0.544696,-0.567536,-0.0132049
-0.518222,-0.542049,-0.0146452
-0.492314,-0.51726,-0.0161566
-0.467181,-0.493307,-0.0177169
-0.443027,-0.470668,-0.0195808
-0.420014,-0.449497,-0.0217089
-0.398208,-0.429587,-0.02395
-0.377482,-0.410793,-0.0262419
