Lead1,Lead2,Lead3
-14.0725,-15.1988,-0.910081
-28.756,-31.0518,-1.85758
-25.2885,-27.3035,-1.62632
-27.1596,-29.3204,-1.74596
-26.001,-28.0647,-1.66756
-26.7469,-28.8637,-1.70699
-26.2735,-28.3507,-1.67303
-26.5542,-28.653,-1.69342
-26.3756,-28.4639,-1.68596
-26.4437,-28.541,-1.68992
-26.3978,-28.4931,-1.68983
-26.3904,-28.4873,-1.69365
-26.3824,-28.481,-1.6936
-26.3676,-28.468,-1.69743
-26.3494,-28.4571,-1.70417
-26.3418,-28.451,-1.70471
-26.3431,-28.452,-1.70412
-26.3481,-28.4585,-1.7043
-26.3514,-28.4532,-1.7003
-26.3508,-28.4523,-1.69943
-26.3465,-28.4481,-1.69524
-26.3458,-28.444,-1.69492
-26.3481,-28.4448,-1.6942
-26.3467,-28.4479,-1.69834
-26.3431,-28.4426,-1.69711
-26.34,-28.4375,-1.69451
-26.3364,-28.4336,-1.69483
-26.3344,-28.4295,-1.6916
-26.329,-28.4237,-1.68983
-26.3205,-28.4145,-1.6896
-26.3174,-28.4058,-1.68445
-26.3084,-28.3986,-1.68482
-26.3003,-28.3879,-1.68514
-26.2974,-28.3836,-1.68036
-26.3003,-28.3848,-1.68008
-26.3035,-28.3865,-1.67808
-26.3051,-28.3816,-1.67166
-26.3037,-28.3734,-1.66606
-26.3006,-28.3705,-1.66442
-26.3037,-28.3654,-1.65896
-26.3066,-28.3652,-1.6545
-26.3109,-28.3618,-1.64653
-26.312,-28.3615,-1.64671
-26.3095,-28.3589,-1.64735
-26.301,-28.3516,-1.64826
-26.2954,-28.3429,-1.64366
-26.2923,-28.334,-1.63966
-26.2856,-28.3257,-1.63647
-26.2795,-28.3158,-1.63283
-26.2761,-28.3127,-1.63269
-26.2708,-28.3071,-1.63133
-26.2607,-28.2945,-1.62582
-26.2508,-28.2783,-1.62277
-26.2479,-28.2665,-1.61389
-26.243,-28.2537,-1.60729
-26.2387,-28.2447,-1.60114
-26.2345,-28.2333,-1.59359
-26.2316,-28.2239,-1.58944
-26.2251,-28.2145,-1.58758
-26.2183,-28.2038,-1.58161
-26.2103,-28.1973,-1.58485
-26.2045,-28.1922,-1.57952
-26.2004,-28.1866,-1.58102
-26.1995,-28.1837,-1.58198
-26.1971,-28.1775,-1.57651
-26.1982,-28.1746,-1.57192
-26.2006,-28.1755,-1.568
-26.1989,-28.1707,-1.56809
-26.1973,-28.1675,-1.56636
-26.1966,-28.1656,-1.56541
-26.2002,-28.1634,-1.56227
-26.2109,-28.1673,-1.55366
-26.2154,-28.1678,-1.54947
-26.2087,-28.1579,-1.54583
-26.2076,-28.1574,-1.54701
-26.2018,-28.154,-1.54956
-26.1957,-28.1462,-1.54779
-26.1926,-28.1404,-1.54456
-26.1959,-28.1404,-1.53955
-26.1955,-28.1392,-1.53946
-26.193,-28.1371,-1.53996
-26.191,-28.1395,-1.54565
-26.1926,-28.1453,-1.54893
-26.1939,-28.1462,-1.54952
-26.1906,-28.1448,-1.55079
-26.1906,-28.1528,-1.55626
-26.1957,-28.1617,-1.56281
-26.198,-28.1673,-1.5644
-26.1966,-28.1617,-1.56044
-26.198,-28.1574,-1.55735
-26.1971,-28.1569,-1.55512
-26.193,-28.153,-1.55657
-26.1888,-28.1494,-1.55494
-26.1776,-28.1361,-1.55475
-26.1755,-28.1329,-1.55657
-26.174,-28.1351,-1.55585
-26.1717,-28.1361,-1.55812
-26.1729,-28.1317,-1.55676
-26.1679,-28.1267,-1.55539
-26.1617,-28.1175,-1.55239
-26.1596,-28.1155,-1.55257
-26.1587,-28.1129,-1.55134
-26.1563,-28.11,-1.54997
-26.1552,-28.1039,-1.54506
-26.1529,-28.1039,-1.54651
-26.1534,-28.1034,-1.54811
-26.1516,-28.1017,-1.54802
-26.1493,-28.0998,-1.54633
-26.15,-28.0962,-1.54497
-26.1464,-28.0901,-1.54132
-26.1435,-28.0841,-1.53791
-26.1392,-28.0795,-1.53782
-26.1325,-28.0734,-1.53354
-26.1289,-28.0679,-1.53172
-26.1285,-28.0616,-1.53126
-26.1227,-28.055,-1.52767
-26.1215,-28.0502,-1.5233
-26.1207,-28.0456,-1.5207
-26.1117,-28.0359,-1.51952
-26.1036,-28.0299,-1.52225
-26.1099,-28.0263,-1.51301
-26.1119,-28.0154,-1.50035
-26.1045,-28.0033,-1.49534
-26.0949,-27.9934,-1.49712
-26.0902,-27.9876,-1.49389
-26.0864,-27.9839,-1.49407
-26.0814,-27.981,-1.49484
-26.0774,-27.9779,-1.49571
-26.0723,-27.9747,-1.4983
-26.0669,-27.9699,-1.49921
-26.0525,-27.9585,-1.50422
-26.0355,-27.9464,-1.50723
-26.0364,-27.945,-1.50554
-26.042,-27.9515,-1.50768
-26.0434,-27.9593,-1.5111
-26.0521,-27.9665,-1.51005
-26.0619,-27.9774,-1.51064
-26.0698,-27.9871,-1.51442
-26.0756,-27.9953,-1.51629
-26.0783,-28.0035,-1.52138
-26.0846,-28.0137,-1.52362
-26.0904,-28.0202,-1.52721
-26.094,-28.0238,-1.52589
-26.0978,-28.0299,-1.52967
-26.1063,-28.041,-1.53304
-26.1072,-28.0483,-1.53431
-26.1059,-28.0534,-1.54223
-26.1047,-28.056,-1.5466
-26.1043,-28.063,-1.55339
-26.1041,-28.0618,-1.55357
-26.1041,-28.0625,-1.55393
-26.1074,-28.0674,-1.55703
-26.1074,-28.0725,-1.56044
-26.1081,-28.0788,-1.56682
-26.1077,-28.0807,-1.57192
-26.1061,-28.0812,-1.57192
-26.0976,-28.0785,-1.57711
-26.092,-28.0744,-1.57774
-26.0906,-28.0768,-1.58239
-26.0924,-28.0894,-1.59172
-26.0976,-28.0988,-1.59573
-26.103,-28.1066,-1.6006
-26.1054,-28.1129,-1.60283
-26.1097,-28.1208,-1.60674
-26.1016,-28.1143,-1.6113
-26.094,-28.1056,-1.60947
-26.0987,-28.1095,-1.60679
-26.1052,-28.116,-1.60711
-26.1065,-28.1138,-1.60438
-26.0974,-28.1073,-1.60469
-26.092,-28.1,-1.60551
-26.0956,-28.1015,-1.60187
-26.1043,-28.1143,-1.60683
-26.109,-28.1254,-1.61048
-26.1117,-28.1342,-1.62459
-26.1186,-28.1487,-1.62896
-26.1296,-28.1697,-1.6352
-26.1339,-28.1869,-1.6474
-26.1359,-28.2033,-1.66369
-26.1453,-28.2234,-1.67403
-26.1505,-28.2399,-1.68423
-26.1561,-28.2566,-1.69151
-26.1699,-28.2708,-1.6997
-26.1773,-28.2836,-1.70239
-26.1856,-28.2957,-1.71013
-26.1935,-28.3066,-1.71113
-26.1932,-28.3088,-1.71409
-26.1928,-28.3156,-1.71741
-26.1941,-28.3236,-1.72278
-26.1948,-28.3299,-1.73248
-26.1876,-28.3236,-1.73093
-26.1843,-28.3178,-1.72866
-26.1881,-28.3262,-1.73412
-26.1885,-28.3286,-1.7359
-26.1811,-28.3226,-1.74054
-26.1731,-28.317,-1.74018
-26.1773,-28.3248,-1.74081
-26.1841,-28.3296,-1.7415
-26.1899,-28.3376,-1.742
-26.1948,-28.3436,-1.74546
-26.2013,-28.3519,-1.74814
-26.2089,-28.3628,-1.75015
-26.2179,-28.3748,-1.75324
-26.2266,-28.393,-1.75893
-26.2403,-28.4104,-1.7648
-26.2546,-28.4319,-1.78188
-26.2791,-28.4612,-1.77655
-26.3039,-28.4934,-1.78788
-26.3284,-28.528,-1.79307
-26.353,-28.5616,-1.8045
-26.3716,-28.5957,-1.81975
-26.3855,-28.6308,-1.84302
-26.4052,-28.6743,-1.86692
-26.426,-28.7116,-1.88385
-26.4415,-28.7401,-1.89464
-26.4597,-28.7757,-1.91135
-26.4724,-28.7958,-1.92077
-26.4863,-28.8219,-1.93124
-26.5036,-28.8463,-1.93798
-26.5181,-28.8591,-1.93502
-26.5298,-28.8708,-1.93702
-26.5354,-28.8831,-1.94226
-26.5287,-28.8925,-1.96006
-26.5128,-28.878,-1.95792
-26.4861,-28.8514,-1.96898
-26.4433,-28.7967,-1.91057
-26.383,-28.7203,-1.91991
-26.3145,-28.6255,-1.91221
-26.2275,-28.496,-1.86259
-26.1339,-28.3545,-1.81798
-26.0348,-28.1772,-1.73831
-25.9333,-27.9946,-1.65523
-25.8348,-27.8238,-1.58835
-25.7294,-27.6479,-1.50718
-25.5905,-27.3944,-1.41194
-25.4778,-27.1876,-1.27719
-25.3683,-26.9892,-1.18268
-25.2621,-26.7713,-1.11617
-25.1525,-26.5514,-0.988656
-25.0411,-26.3361,-0.892281
-24.932,-26.1215,-0.783568
-24.8511,-25.9643,-0.71346
-24.7938,-25.8307,-0.632928
-24.7696,-25.7366,-0.563639
-24.757,-25.6783,-0.519526
-24.7404,-25.6184,-0.465215
-24.7449,-25.5799,-0.411724
-24.7543,-25.5494,-0.395608
-24.7579,-25.5068,-0.343392
-24.7611,-25.4638,-0.301509
-24.768,-25.435,-0.262859
-24.7736,-25.4093,-0.235726
-24.7776,-25.383,-0.200809
-24.7974,-25.3658,-0.165527
-24.8328,-25.3665,-0.130701
-24.8726,-25.3922,-0.114084
-24.9222,-25.4471,-0.1597
-24.9551,-25.4744,-0.116224
-24.9838,-25.5356,-0.148592
-25.0317,-25.6428,-0.208184
-25.0821,-25.7369,-0.249793
-25.1399,-25.8395,-0.29468
-25.2027,-25.9628,-0.35755
-25.2742,-26.1169,-0.435488
-25.345,-26.2797,-0.533502
-25.4001,-26.4299,-0.618815
-25.4765,-26.6002,-0.757346
-25.5598,-26.7778,-0.827454
-25.638,-26.9396,-0.892372
-25.7017,-27.0724,-0.970765
-25.7626,-27.2055,-1.03746
-25.8229,-27.3431,-1.11631
-25.8832,-27.4861,-1.19807
-25.9459,-27.6436,-1.2954
-25.9974,-27.7568,-1.35854
-26.0265,-27.8206,-1.39027
-26.0411,-27.8511,-1.40862
-26.0566,-27.8753,-1.41804
-26.0662,-27.8857,-1.41713
-26.0604,-27.8799,-1.41613
-26.0528,-27.8693,-1.41358
-26.0463,-27.8678,-1.41672
-26.0478,-27.8714,-1.41868
-26.0575,-27.8867,-1.42656
-26.0628,-27.9022,-1.43266
-26.0725,-27.9167,-1.43958
-26.0857,-27.9394,-1.44946
-26.0951,-27.9585,-1.46102
-26.1045,-27.9745,-1.4658
-26.1137,-27.988,-1.47194
-26.1164,-27.9992,-1.47668
-26.1249,-28.0096,-1.48146
-26.1316,-28.0207,-1.48542
-26.1363,-28.0306,-1.49006
-26.1464,-28.042,-1.49207
-26.1536,-28.0541,-1.49657
-26.1585,-28.0628,-1.4993
-26.1626,-28.0696,-1.50568
-26.1688,-28.0756,-1.50408
-26.178,-28.0923,-1.50968
-26.1906,-28.1075,-1.51137
-26.1977,-28.1163,-1.51779
-26.2042,-28.1322,-1.52585
-26.2121,-28.1484,-1.53053
-26.2204,-28.1581,-1.53022
-26.2349,-28.1724,-1.53308
-26.2477,-28.1898,-1.53714
-26.2638,-28.2116,-1.54806
-26.2788,-28.2328,-1.55084
-26.2945,-28.2529,-1.55134
-26.3095,-28.2716,-1.56108
-26.3254,-28.2953,-1.56591
-26.3331,-28.3103,-1.57269
-26.3405,-28.3233,-1.58061
-26.3557,-28.3463,-1.58507
-26.3633,-28.3572,-1.58972
-26.3631,-28.364,-1.59682
-26.3647,-28.3765,-1.61202
