Lead1,Lead2,Lead3
0,0,0
1.64359e+06,1.91672e+06,6863.42
2.39064e+06,2.78716e+06,9930.89
1.96405e+06,2.2891e+06,8110.59
1.78029e+06,2.07423e+06,7327.8
1.52576e+06,1.77676e+06,6219.57
1.34928e+06,1.57061e+06,5445.67
1.15952e+06,1.34951e+06,4673.39
1.00975e+06,1.17539e+06,4094.06
864101,1.00627e+06,3515.71
742622,865103,3029.33
631539,735901,2598.14
535651,624393,2217.49
451252,526255,1882.38
377164,440333,1604.89
313011,365860,1353.36
258092,301759,1118.54
211097,246867,915.122
170827,199589,734.912
136369,159123,580.409
107072,124954,450.339
82537.2,96275.7,342.788
62311.7,72602.9,257.722
45749.2,53343.9,192.032
32352.2,37761.9,138.327
21790.3,25407.9,91.6002
13716.4,15981,56.9645
7803.58,9079.26,31.5473
3735.55,4335.4,13.9173
1243.11,1438.81,4.18021
120.271,133.421,0.125232
141.666,174.58,1.48416
1125.13,1335.25,6.39302
2880.25,3403.99,15.3247
5212.45,6149.38,27.3719
7983.7,9413.55,40.6967
11114.2,13130.8,58.3568
14533.9,17234.8,79.65
18168.1,21541.3,99.5513
21868.7,25943,119.944
25548.8,30363.1,142.606
29196.3,34742.9,167.325
32796.4,39045.6,188.053
36371.4,43216.9,200.679
39933.6,47322.4,211.803
43380.3,51324.4,226.838
46576.7,55138.7,245.592
49591.5,58711.6,261.924
52435.6,62050.6,276.78
55012.2,65051.9,287.309
57352.8,67717.9,294.331
59564.6,70267.4,306.043
61612.5,72720.8,318.382
63316.6,74884.5,333.214
64717.1,76716.6,350.744
65919.6,78232.7,363.626
66897.5,79466.7,376.243
67649.3,80462,385.021
68239.8,81183.3,385.622
68701.3,81700.5,387.494
69004.7,81949.7,382.257
69117.6,81898.8,375.741
69001.6,81648,370.845
68656.3,81188.3,358.13
68150.1,80584.5,353.524
67488.8,79834.9,354.779
66639.1,78827.1,353.371
65739.2,77739.1,345.896
64811,76616.5,335.708
63779.9,75345.4,326.664
62595.2,73973.4,319.075
61176,72431.4,319.596
59704.8,70789.2,320.496
58461.5,69323.7,315.206
57253.6,67817.5,303.809
55986.8,66161,286.166
54751.9,64585.5,272.399
53440.9,63011.3,264.872
51971.1,61289.1,260.473
50453.3,59485.5,252.717
49012.1,57711.6,239.723
47585.8,55885.6,221.989
46104.6,53956.4,203.022
44585.7,52072.7,189.782
43142.6,50313.5,178.953
41726.8,48479.3,164.819
40219.2,46539.6,147.749
38709.6,44679,134.962
37305.8,43047.3,130.402
35936.2,41567.2,129.128
34586,40043.6,126.45
33322.3,38541.1,120.599
32117.3,37105.1,114.565
31009.5,35805.6,109.826
29892,34518.5,103.057
28693,33079.9,96.9878
27525.9,31636.4,90.9687
26362,30306.9,85.6432
25257.7,29078.1,82.6006
24254.6,27929.8,80.5001
23248.4,26777,77.533
22220.5,25591.2,73.6861
21229.4,24453,70.7867
20272.6,23383.2,69.8243
19346.1,22320.2,67.3441
18438.3,21243.8,61.7376
17559.5,20223.1,57.266
16734.9,19253.3,54.5571
15921.2,18336.2,52.511
15149.1,17486.6,51.3579
14433,16685.9,51.0594
13748.1,15901.7,49.131
13115.1,15145.9,47.6049
12499.6,14425.3,46.8048
11864.6,13733.3,44.3827
11270.7,13074.2,42.7712
10705.3,12430.1,42.7365
10132.6,11798.7,42.2076
9632.88,11225,40.3709
9194.96,10682.7,36.5962
8684.96,10123.9,36.03
8143.7,9618.6,41.2351
7705.68,9183.26,44.6056
7348.5,8757,41.8899
6990.24,8310.84,38.6443
6617.04,7849.29,36.2101
6261.75,7394.66,32.5029
5923.72,6960.59,28.9043
5602.23,6550.15,25.0904
5301.62,6169.13,21.6837
5054.53,5845.9,18.0296
4865.79,5569.93,14.3743
4617.21,5260.06,12.7005
