Pre-RR,Post-RR,R-Amplitude,QRS-Interval,QRS-Area
3.708,3.64,0.99473,0.236,0.234756
3.64,3.488,0.939797,0.236,0.221792
3.488,3.248,0.850832,0.228,0.19399
3.248,3.404,0.866218,0.228,0.197498
3.404,3.624,0.904427,0.228,0.206209
3.624,3.856,0.966798,0.232,0.224297
3.856,3.912,0.981719,0.236,0.231686
3.912,3.608,0.937579,0.236,0.221269
3.608,3.412,0.871672,0.22,0.191768
3.412,3.628,0.905814,0.228,0.206525
3.628,3.764,0.991877,0.228,0.226148
3.764,3.992,0.986526,0.228,0.224928
3.992,3.964,1.0087,0.228,0.229983
3.964,3.732,0.938486,0.232,0.217729
3.732,3.608,0.909842,0.228,0.207444
3.608,3.724,0.956896,0.22,0.210517
3.724,3.848,0.999016,0.236,0.235768
3.848,3.68,1.0009,0.228,0.228205
3.68,3.524,0.888958,0.232,0.206238
3.524,3.6,0.908415,0.228,0.207119
3.6,3.796,0.950674,0.228,0.216754
3.796,4.084,0.986517,0.228,0.224926
4.084,3.94,1.00409,0.228,0.228933
3.94,3.66,0.950594,0.228,0.216735
3.66,3.648,0.886397,0.228,0.202099
3.648,3.676,0.95739,0.232,0.222114
3.676,3.892,0.98847,0.228,0.225371
3.892,3.744,0.980091,0.228,0.223461
3.744,3.632,0.907692,0.232,0.210584
3.632,3.828,0.878726,0.232,0.203865
3.828,4.032,0.967774,0.232,0.224523
4.032,3.948,1.01165,0.232,0.234703
3.948,3.728,0.975081,0.228,0.222319
3.728,3.552,0.881225,0.232,0.204444
3.552,3.584,0.940548,0.232,0.218207
3.584,3.964,0.988231,0.232,0.229269
3.964,3.992,0.990361,0.232,0.229764
3.992,3.804,0.927389,0.232,0.215154
3.804,4.036,0.941003,0.236,0.222077
4.036,3.912,0.98072,0.232,0.227527
3.912,3.576,0.972703,0.232,0.225667
3.576,3.468,0.693612,0.228,0.158144
3.468,3.584,0.947396,0.224,0.212217
3.584,3.728,0.974999,0.228,0.2223
3.728,3.792,0.974469,0.228,0.222179
3.792,3.72,0.685908,0.228,0.156387
3.72,3.856,0.661672,0.228,0.150861
3.856,4.06,0.72366,0.228,0.164994
4.06,4.004,0.741648,0.232,0.172062
4.004,3.716,0.680146,0.24,0.163235
3.716,3.668,0.679852,0.232,0.157726
3.668,3.792,0.749352,0.232,0.17385
3.792,3.864,0.741285,0.236,0.174943
3.864,3.768,0.699539,0.232,0.162293
3.768,3.688,0.699353,0.232,0.16225
3.688,3.544,0.746865,0.228,0.170285
3.544,3.488,0.721744,0.232,0.167445
3.488,3.648,0.68017,0.228,0.155079
3.648,3.848,0.717103,0.228,0.163499
3.848,3.868,0.776233,0.232,0.180086
3.868,3.808,0.733896,0.228,0.167328
3.808,3.748,0.700359,0.236,0.165285
3.748,3.664,0.736412,0.224,0.164956
3.664,3.76,0.726088,0.232,0.168452
3.76,3.524,0.645937,0.236,0.152441
3.524,3.592,0.708562,0.228,0.161552
3.592,3.656,0.71333,0.232,0.165493
3.656,4.064,0.736475,0.236,0.173808
4.064,3.952,0.679381,0.232,0.157616
3.952,3.88,0.714783,0.236,0.168689
3.88,4.096,0.74388,0.228,0.169605
4.096,4.24,0.730837,0.228,0.166631
4.24,7.904,0.725252,0.232,0.168258
7.904,4.036,0.739369,0.232,0.171534
4.036,4.44,0.70909,0.228,0.161672
4.44,4.408,0.746579,0.228,0.17022
4.408,4.408,0.688471,0.228,0.156971
4.408,8.132,0.704944,0.232,0.163547
8.132,4.052,0.708922,0.232,0.16447
4.052,4.144,0.752122,0.236,0.177501
4.144,11.68,0.694368,0.232,0.161093
11.68,4.072,0.744838,0.224,0.166844
4.072,4.228,0.745729,0.232,0.173009
4.228,24.164,0.711675,0.236,0.167955
24.164,4.408,0.735015,0.232,0.170524
4.408,4.368,0.742564,0.22,0.163364
4.368,4.34,0.709157,0.228,0.161688
4.34,4.216,0.697907,0.236,0.164706
4.216,4.144,0.715172,0.232,0.16592
4.144,4.124,0.713644,0.232,0.165565
4.124,8.108,0.72661,0.24,0.174386
8.108,4.276,0.744511,0.232,0.172727
4.276,4.464,0.77185,0.236,0.182157
4.464,12.164,0.693443,0.232,0.160879
12.164,3.964,0.729274,0.228,0.166275
3.964,4.08,0.684692,0.236,0.161587
4.08,11.444,0.763813,0.236,0.18026
11.444,3.984,0.7339,0.228,0.167329
3.984,3.996,0.711299,0.232,0.165021
3.996,7.728,0.705344,0.232,0.16364
7.728,3.628,0.728625,0.228,0.166126
3.628,7.308,0.682661,0.232,0.158377
7.308,3.912,0.667131,0.228,0.152106
3.912,4.408,0.726075,0.232,0.168449
4.408,7.6,0.748786,0.228,0.170723
7.6,3.484,0.69128,0.232,0.160377
3.484,3.68,0.697491,0.228,0.159028
3.68,7.18,0.733204,0.232,0.170103
7.18,3.816,0.727477,0.232,0.168775
3.816,4.008,0.756628,0.228,0.172511
4.008,8.36,0.788524,0.232,0.182938
8.36,4.148,0.717652,0.228,0.163625
4.148,4.324,0.755116,0.232,0.175187
4.324,7.532,0.695493,0.232,0.161354
7.532,3.716,0.707972,0.224,0.158586
3.716,3.804,0.725691,0.228,0.165458
3.804,3.784,0.706328,0.232,0.163868
3.784,3.864,0.700705,0.228,0.159761
3.864,4.156,0.709969,0.232,0.164713
4.156,4.364,0.727149,0.232,0.168699
4.364,4.268,0.693664,0.232,0.16093
4.268,8,0.665269,0.232,0.154342
8,4.06,0.749412,0.228,0.170866
4.06,4.052,0.724391,0.232,0.168059
4.052,3.988,0.711998,0.232,0.165184
3.988,3.988,0.665806,0.228,0.151804
3.988,4.256,0.708928,0.232,0.164471
4.256,8.232,0.728275,0.228,0.166047
8.232,4.24,0.689505,0.232,0.159965
4.24,4.248,0.697457,0.228,0.15902
4.248,4.088,0.743932,0.232,0.172592
4.088,4.212,0.72781,0.224,0.163029
4.212,4.236,0.734563,0.232,0.170419
4.236,8.148,0.733615,0.228,0.167264
8.148,4.128,0.711638,0.232,0.1651
4.128,4.168,0.697796,0.228,0.159097
4.168,4.128,0.757611,0.228,0.172735
4.128,4.296,0.694194,0.228,0.158276
4.296,4.528,0.728526,0.228,0.166104
4.528,8.588,0.695662,0.232,0.161394
8.588,4.244,0.706413,0.232,0.163888
4.244,4.208,0.735053,0.228,0.167592
4.208,4.072,0.689954,0.236,0.162829
4.072,4.12,0.715627,0.232,0.166025
4.12,4.272,0.735146,0.232,0.170554
4.272,4.22,0.753302,0.228,0.171753
4.22,4.196,0.756011,0.236,0.178419
4.196,4.296,0.713318,0.228,0.162637
4.296,4.36,0.679826,0.232,0.15772
4.36,4.328,0.762553,0.232,0.176912
4.328,4.196,0.695479,0.228,0.158569
4.196,4.188,0.707437,0.228,0.161296
4.188,4.272,0.663128,0.224,0.148541
4.272,4.024,0.677015,0.236,0.159776
4.024,3.956,0.708045,0.228,0.161434
3.956,4.076,0.671369,0.232,0.155758
4.076,4.244,0.731698,0.236,0.172681
4.244,4.312,0.748227,0.224,0.167603
4.312,4.368,0.712485,0.236,0.168146
4.368,4.328,0.667446,0.228,0.152178
4.328,8.136,0.668115,0.232,0.155003
3.708,3.64,1.81793,0.232,0.421759
3.64,3.492,1.84033,0.236,0.434319
3.492,3.248,1.81745,0.236,0.428919
3.248,3.404,1.73978,0.232,0.403628
3.404,3.62,1.74338,0.228,0.39749
3.62,3.856,1.7928,0.236,0.423101
3.856,3.912,1.80025,0.236,0.424859
3.912,3.612,1.83256,0.236,0.432484
3.612,3.412,1.82619,0.228,0.416371
3.412,3.624,1.81061,0.232,0.420063
3.624,3.764,1.82497,0.232,0.423392
3.764,3.992,1.81216,0.232,0.420421
3.992,3.968,1.83893,0.232,0.426633
3.968,3.728,1.82553,0.236,0.430825
3.728,3.608,1.83793,0.232,0.426401
3.608,3.724,1.81134,0.228,0.412985
3.724,3.852,1.82527,0.236,0.430764
3.852,3.68,1.87253,0.232,0.434427
3.68,3.524,1.83919,0.236,0.434048
3.524,3.596,1.83126,0.232,0.424852
3.596,3.796,1.81059,0.228,0.412815
3.796,4.084,1.84106,0.232,0.427125
4.084,3.944,1.86235,0.232,0.432066
3.944,3.656,1.84722,0.232,0.428556
